Terminales,Profundidad,Dato_Enviado,Dato_Recibido,Tiempo_Envio,Tiempo_Recibido,Term_Envio,Term_Recibido,Latencia
19, 21, caac058, caac058, 255, 875, 7, 12, 620
19, 21, c5c7ed3, c5c7ed3, 185, 1235, 8, 12, 1050
19, 21, 88066b3, 88066b3, 385, 1595, 9, 8, 1210
19, 21, 12bcd851, 12bcd851, 715, 1955, 10, 18, 1240
19, 21, 13b8c43, 13b8c43, 495, 2315, 11, 1, 1820
19, 21, 2d1250d, 2d1250d, 345, 2675, 12, 2, 2330
19, 21, 749c94e, 749c94e, 965, 3035, 13, 7, 2070
19, 21, 677442f, 677442f, 35, 3395, 14, 6, 3360
19, 21, 42ec9d, 42ec9d, 125, 3755, 15, 0, 3630
19, 21, 9508422, 9508422, 525, 4115, 16, 9, 3590
19, 21, 7c3cb70, 7c3cb70, 545, 4475, 17, 7, 3930
19, 21, 2c588a0, 2c588a0, 3625, 4835, 18, 2, 1210
19, 21, 7d13392, 7d13392, 1165, 5195, 0, 7, 4030
19, 21, b4bb5e9, b4bb5e9, 2025, 5555, 1, 11, 3530
19, 21, 10f51601, 10f51601, 1535, 5915, 2, 16, 4380
19, 21, 49b3d96, 49b3d96, 1415, 6275, 3, 4, 4860
19, 21, 10c60e05, 10c60e05, 805, 6635, 4, 16, 5830
19, 21, d46f158, d46f158, 985, 6995, 5, 13, 6010
19, 21, 7464a63, 7464a63, 1775, 7355, 6, 7, 5580
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 0, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 1, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 2, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 3, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 4, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 5, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 6, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 8, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 9, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 10, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 11, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 12, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 13, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 14, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 15, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 16, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 17, 5830
19, 21, ffda0822, ffda0822, 1885, 7715, 7, 18, 5830
19, 21, 3ad8d7b, 3ad8d7b, 455, 8075, 8, 3, 7620
19, 21, 6e7de9a, 6e7de9a, 1075, 8435, 9, 6, 7360
19, 21, 51930af, 51930af, 3045, 8795, 10, 5, 5750
19, 21, a3a831d, a3a831d, 865, 9155, 11, 10, 8290
19, 21, f407306, f407306, 705, 9515, 12, 15, 8810
19, 21, 1405730, 1405730, 1125, 9875, 13, 1, 8750
19, 21, b824029, b824029, 1055, 10235, 14, 11, 9180
19, 21, 83e576, 83e576, 3065, 10595, 15, 0, 7530
19, 21, afada84, afada84, 1745, 10955, 16, 10, 9210
19, 21, 45ca95c, 45ca95c, 645, 11315, 17, 4, 10670
19, 21, 6d8b112, 6d8b112, 5995, 11675, 18, 6, 5680
19, 21, d9a3ef9, d9a3ef9, 3335, 12035, 0, 13, 8700
19, 21, 3a4dd98, 3a4dd98, 3155, 12395, 1, 3, 9240
19, 21, 3cdfe37, 3cdfe37, 1685, 12755, 2, 3, 11070
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 0, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 1, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 2, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 4, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 5, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 6, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 7, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 8, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 9, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 10, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 11, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 12, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 13, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 14, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 15, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 16, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 17, 10860
19, 21, ff3b7b93, ff3b7b93, 2255, 13115, 3, 18, 10860
19, 21, 16f2e81, 16f2e81, 4635, 13475, 4, 1, 8840
19, 21, 1211100, 1211100, 1335, 13835, 5, 1, 12500
19, 21, e0e42aa, e0e42aa, 4225, 14195, 6, 14, 9970
19, 21, b4e5dc2, b4e5dc2, 1915, 14555, 7, 11, 12640
19, 21, e5a2d44, e5a2d44, 885, 14915, 8, 14, 14030
19, 21, 18f7f5, 18f7f5, 1225, 15275, 9, 0, 14050
19, 21, 5f4de4b, 5f4de4b, 3465, 15635, 10, 5, 12170
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 0, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 1, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 2, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 3, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 4, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 5, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 6, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 7, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 8, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 9, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 10, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 12, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 13, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 14, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 15, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 16, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 17, 14560
19, 21, fff0c9c7, fff0c9c7, 1435, 15995, 11, 18, 14560
