Terminales,Profundidad,BW
32,10,34408.00
32,20,34408.00
32,32,34408.00
30,12,37209.00
24,10,39506.00
24,20,39506.00
24,32,39506.00
23,13,41025.00
25,19,44444.00
22,22,48484.00
16,10,53333.00
16,18,53333.00
16,32,53333.00
26,28,55172.00
19,21,56140.00
17,13,60377.00
29,13,62745.00
29,30,62745.00
9,14,62745.00
8,10,62745.00
8,20,62745.00
8,32,62745.00
7,10,64000.00
7,22,64000.00
12,22,74418.00
6,10,76190.00
11,11,78048.00
13,21,80000.00
13,32,80000.00
4,10,80000.00
4,12,80000.00
4,20,80000.00
4,32,80000.00
28,17,84210.00
10,26,84210.00
10,31,84210.00
