Terminales,Profundidad,BW
32,32,1018.36
32,20,1048.74
24,32,1269.8
26,28,1313.28
29,30,1323.84
24,20,1348.3
25,19,1388.92
22,22,1467.21
30,12,1508.21
32,10,1586.37
28,17,1610.67
29,13,1691.08
19,21,1740.67
23,13,1801.9
16,32,1822.2
24,10,2053.27
16,18,2099.06
13,32,2476.4
17,13,2534.25
13,21,2569.84
12,22,2604.09
8,32,2863.71
10,31,2892.23
10,26,2911.37
16,10,3049.59
8,20,3439.87
7,22,3603.69
9,14,3941.12
11,11,4276.98
4,32,4715.7
8,10,5398.06
7,10,5995.07
4,20,6096.27
6,10,7143.97
4,12,8603.85
4,10,9770.97

