Dispositivos,Profundidad,Paquete_Enviado,Paquete_Recibido,Tiempo_Envio,Tiempo_Recibido,Terminal_de_Envio,Terminal_de_recibido,Latencia
16, 30, 10d7065b, 310d7065b, 115, 325, 3, 4, 210
16, 30, 540000aa, 2540000aa, 165, 665, 0, 11, 500
16, 30, 122a412, 122a412, 395, 705, 8, 0, 310
16, 30, 255c8465, 1255c8465, 525, 745, 11, 13, 220
16, 30, 4c66ce9, 4c66ce9, 575, 905, 4, 3, 330
16, 30, 40582fd, 40582fd, 335, 975, 7, 3, 640
16, 30, 5185577c, 25185577c, 925, 1105, 1, 8, 180
16, 30, 51b632e8, 251b632e8, 785, 1215, 3, 8, 430
16, 30, 39ecd25, 39ecd25, 1095, 1325, 13, 2, 230
16, 30, 2d9b748, 2d9b748, 1315, 1445, 0, 1, 130
16, 30, 106f88a0, 3106f88a0, 1155, 1495, 7, 4, 340
16, 30, 358133ae, 1358133ae, 1455, 1705, 12, 14, 250
16, 30, 471c0e3, 471c0e3, 1605, 1745, 1, 3, 140
16, 30, 5411350d, 25411350d, 1475, 1755, 7, 11, 280
16, 30, 53d20a50, 253d20a50, 1815, 1965, 2, 10, 150
16, 30, 4525a5e1, 14525a5e1, 1935, 2085, 9, 15, 150
16, 30, 1527b6e6, 11527b6e6, 1955, 2145, 2, 12, 190
16, 30, 206ccb17, 3206ccb17, 1735, 2165, 11, 5, 430
16, 30, 20d8783c, 320d8783c, 2045, 2255, 6, 5, 210
16, 30, 10335c1c, 310335c1c, 2255, 2425, 3, 4, 170
16, 30, 2d4e9d5, 2d4e9d5, 2425, 2555, 0, 1, 130
16, 30, 2533c510, 12533c510, 2615, 3055, 8, 13, 440
16, 30, 2e5ce33, 2e5ce33, 2795, 3125, 15, 1, 330
16, 30, 4f612cd, 4f612cd, 2905, 3235, 11, 3, 330
16, 30, 457eb8e5, 1457eb8e5, 2925, 3275, 1, 15, 350
16, 30, 4025c72a, 34025c72a, 3145, 3305, 6, 7, 160
16, 30, 459e43e6, 1459e43e6, 2985, 3465, 1, 15, 480
16, 30, 3d392b2, 3d392b2, 3105, 3535, 11, 2, 430
16, 30, 25e3252d, 125e3252d, 3485, 3605, 3, 13, 120
16, 30, 348b44e, 348b44e, 3315, 3685, 7, 2, 370
16, 30, 15be9160, 115be9160, 3665, 3915, 0, 12, 250
16, 30, 30e802a3, 330e802a3, 3825, 4045, 0, 6, 220
16, 30, 51de9046, 251de9046, 3995, 4205, 11, 8, 210
16, 30, 35345de5, 135345de5, 3675, 4255, 0, 14, 580
16, 30, 45a38fd1, 145a38fd1, 4115, 4395, 13, 15, 280
16, 30, 3597b9bd, 13597b9bd, 4135, 4445, 13, 14, 310
16, 30, 1066c69, 1066c69, 4285, 4475, 5, 0, 190
